Gene	Mycoplasma_meleagridis_210	Mycoplasma_meleagridis_24B8	Mycoplasma_meleagridis_25A3	Mycoplasma_meleagridis_25A4	Mycoplasma_meleagridis_26	Mycoplasma_meleagridis_26B8	Mycoplasma_meleagridis_26B9	Mycoplasma_meleagridis_ATCCC	Mycoplasma_meleagridis_B870
engA_1	0	1	0	0	1	1	1	1	1
engA_2	0	1	0	0	1	1	1	1	1
engA_3	0	1	0	0	1	1	1	1	1
dnaI	0	1	0	0	1	1	1	1	1
group_1705	0	1	0	0	1	1	1	1	1
group_1706	0	1	0	0	1	1	1	1	1
gidA_1	0	1	0	0	1	1	1	1	1
gidA_2	0	1	0	0	1	1	1	1	1
gidA_3	0	1	0	0	1	1	1	1	1
rlmH	0	1	0	0	1	1	1	1	1
tig_1	0	1	0	0	1	1	1	1	1
tig_2	0	1	0	0	1	1	1	1	1
group_1713	0	1	0	0	1	1	1	1	1
pepA-1	0	1	0	0	1	1	1	1	1
group_1715	0	1	0	0	1	1	1	1	1
tdk_1	0	1	0	0	1	1	1	1	1
tdk_2	0	1	0	0	1	1	1	1	1
group_1718	0	1	0	0	1	1	1	1	1
group_1719	0	1	0	0	1	1	1	1	1
group_1720	0	1	0	0	1	1	1	1	1
group_1721	0	1	0	0	1	1	1	1	1
gidB	0	1	0	0	1	1	1	1	1
prsA	0	1	0	0	1	1	1	1	1
clpC_1	0	1	0	0	1	1	1	1	1
clpB	0	1	0	0	1	1	1	1	1
clpC_2	0	1	0	0	1	1	1	1	1
trmB-2	0	1	0	0	1	1	1	1	1
group_1728	0	1	0	0	1	1	1	1	1
prfA2	0	1	0	0	1	1	1	1	1
acpS	0	1	0	0	1	1	1	1	1
plsC	0	1	0	0	1	1	1	1	1
group_1732	0	1	0	0	1	1	1	1	1
scpA	0	1	0	0	1	1	1	1	1
group_1734	0	1	0	0	1	1	1	1	1
rluC	0	1	0	0	1	1	1	1	1
group_1736	0	1	0	0	1	1	1	1	1
gatC	0	1	0	0	1	1	1	1	1
gatA_1	0	1	0	0	1	1	1	1	1
gatA_2	0	1	0	0	1	1	1	1	1
gatB	0	1	0	0	1	1	1	1	1
MCYN0324	0	1	0	0	1	1	1	1	1
group_1742	0	1	0	0	1	1	1	1	1
cdsA	0	1	0	0	1	1	1	1	1
pyrH_1	0	1	0	0	1	1	1	1	1
pyrH_2	0	1	0	0	1	1	1	1	1
rrf	0	1	0	0	1	1	1	1	1
group_1747	0	1	0	0	1	1	1	1	1
group_1748	0	1	0	0	1	1	1	1	1
cysS_1	0	1	0	0	1	1	1	1	1
cysS_3	0	1	0	0	1	1	1	1	1
spoU2_1	0	1	0	0	1	1	1	1	1
group_1752	0	1	0	0	1	1	1	1	1
group_1753	0	1	0	0	1	1	1	1	1
nusG_1	0	1	0	0	1	1	1	1	1
nusG_2	0	1	0	0	1	1	1	1	1
rpe	0	1	0	0	1	1	1	1	1
rsgA	0	1	0	0	1	1	1	1	1
group_1758	0	1	0	0	1	1	1	1	1
group_1759	0	1	0	0	1	1	1	1	1
gmk	0	1	0	0	1	1	1	1	1
secG	0	1	0	0	1	1	1	1	1
vacB_1	0	1	0	0	1	1	1	1	1
vacB_2	0	1	0	0	1	1	1	1	1
group_1764	0	1	0	0	1	1	1	1	1
group_1765	0	1	0	0	1	1	1	1	1
group_1766	0	1	0	0	1	1	1	1	1
metS_2	0	1	0	0	1	1	1	1	1
MCYN0166	0	1	0	0	1	1	1	1	1
group_1769	0	1	0	0	1	1	1	1	1
group_1770	0	1	0	0	1	1	1	1	1
ftsH_1	0	1	0	0	1	1	1	1	1
ftsH_2	0	1	0	0	1	1	1	1	1
mesJ	0	1	0	0	1	1	1	1	1
pth	0	1	0	0	1	1	1	1	1
